off_id,agribalyse_en,agribalyse_fr
en:fish,"American bass, raw","Bar rayé ou bar d'Amérique, cru"
en:fish,"Alaska pollock, raw","Lieu ou colin d'Alaska, cru"
en:fish,"Atlantic halibut, raw","Flétan de l'Atlantique ou flétan blanc, cru"
en:fish,"Atlantic herring, raw","Hareng, cru"
en:fish,"Anglerfish, raw","Lotte ou baudroie, crue"
en:fish,"Salmon, raw, farmed","Saumon, cru, élevage"
en:fish,"Turbot, raw, wild","Turbot sauvage, cru"
en:fish,"Cod, raw","Cabillaud, cru"
en:fish,"European hake, raw","Merlu, cru"
en:fish,"Saithe, frozen, raw","Lieu noir, surgelé, cru"
en:fish,"Hake, fillet, frozen, raw","Merlu, filet, surgelé, cru"
en:fish,"Mackerel, raw","Maquereau, cru"
en:fish,"Ray, raw","Raie, crue"
en:fish,"Tuna, raw","Thon, cru"
en:fish,"Common dab, raw","Limande, crue"
en:fish,"Common sole, raw","Sole, crue"
en:fish,"Spiny scorpionfish, raw","Rascasse, crue"
en:fish,"Yellowfin tuna, raw","Thon albacore ou thon jaune, cru"
en:fish,"European pilchard or sardine, raw","Sardine, crue"
en:fish,"Skipjack tuna, raw","Thon listao ou Bonite à ventre rayé, cru"
en:fish,"European bass, raw","Bar commun ou loup, cru, sans précision"
en:fish,"Nursehound or lesser spotted dogfish, raw","Roussette ou petite roussette ou saumonette, crue"
en:fish,"Atlantic bass, raw","Bar ou loup de l'Atlantique, cru"
en:fish,"Albacore, raw","Thon germon ou thon blanc, cru"
en:fish,"Common anchovy, raw","Anchois commun, cru"
en:fish,"Gilthead seabream, raw, wild","Dorade royale, ou daurade ou vraie daurade, crue, sauvage"
en:fish,"Swordfish, raw","Espadon, cru"
en:fish,"Pond smelt, raw","Éperlan, cru"
en:fish,"Megrim, raw","Cardine franche, crue"
en:fish,"Surmullet or red mullet, raw","Rouget-barbet de roche, cru"
en:fish,"Gilthead seabream, raw, farmed","Dorade royale ou daurade ou vraie daurade, crue, élevage"
en:fish,"Mullet, raw","Mulet, cru"
en:fish,"Sea trout, raw","Truite de mer, crue"
en:fish,"Whiting, raw","Merlan, cru"
en:fish,"Cod, salted, dried","Morue, salée, sèche"
en:fish,"Black seabream, raw","Dorade grise, ou daurade grise, ou griset, crue"
en:fish,"Bogue, raw","Bogue, crue"
en:fish,"Bonito, raw","Bonite, crue"
en:fish,"Atlantic chub mackerel, raw","Maquereau espagnol ou maquereau blanc ou billard, cru"
en:fish,"Common dentex, raw","Denté, cru"
en:fish,"John dory, raw","Saint-Pierre, cru"
en:fish,"Red gurnard, raw","Grondin, cru"
en:fish,"Brown meagre, raw","Corb, cru"
en:fish,"Capelin, raw","Capelan, cru"
en:fish,"Blackspot seabream, raw","Dorade rose, ou daurade rose, crue"
en:fish,"Surmullet or red mullet, steamed","Rouget-barbet de roche, vapeur"
en:fish,"Salema, raw","Saupe, crue"
en:fish,"Horse mackerel, raw","Chinchard, cru"
en:fish,"Haddock, raw","Églefin, cru"
en:fish,"Conger, raw","Congre, cru"
en:fish,"Roundnose grenadier, raw","Grenadier (de roche), cru"
en:fish,"Pollack, raw","Lieu jaune ou colin, cru"
en:fish,"Ling, raw","Julienne ou Lingue, crue"
en:fish,"Pouting, raw","Tacaud, cru"
en:fish,"Saithe, raw","Lieu noir, cru"
en:fish,"Lemon sole, raw","Limande-sole, crue"
en:fish,"Snapper, raw","Vivaneau, cru"
en:fish,"Largehead hairtail, raw","Sabre, cru"
en:fish,"Greenland halibut, raw","Flétan du Groënland ou flétan noir ou flétan commun, cru"
en:fish,"Crevalle jack, raw","Carangue, cru"
en:fish,"Bigeye scad, raw","Coulirou, cru"
en:fish,"Shark, raw","Requin, cru"
en:fish,"Garfish, raw","Orphie commune, crue"
en:fish,"Freshwater bream, raw","Brème, cru"
en:fish,"Arctic char, raw","Omble chevalier, cru"
en:fish,Spotted wolffish,"Loup tacheté, cru"
en:fish,"European sprat, raw","Sprat, cru"
en:fish,"Turbot, raw","Turbot, cru"
en:fish,"Grouper, raw","Mérou, cru"
en:fish,"Blue ling, raw","Lingue bleue ou Lingue, crue"
en:fish,"Tonguesole, raw","Sole tropicale ou Sole langue, crue"
en:fish,"Turbot, raw, farmed","Turbot d'élevage, cru"
en:fish,"European plaice, raw","Plie commune, crue"
en:fish,"Mediterranean bass, raw, wild","Bar commun ou loup (Méditerranée), cru, sauvage"
en:fish,"Mediterranean bass, raw, farmed","Bar commun ou loup (Méditerranée), cru, élevage"
en:fish,"Golden redfish, raw","Sébaste du nord, ou dorade sébaste, ou daurade sébaste, crue"
en:fish,"Grenadier, from any fishing spot, raw","Hoki, tout lieu de pêche, cru"
en:fish,"Blue grenadier, raw","Grenadier bleu ou hoki de Nouvelle-Zélande, cru"
en:fish,"Tub gurnard, raw","Grondin perlon, cru"
en:fish,"Shallow-water Cape hake, raw","Merlu blanc du Cap, surgelé, cru"
en:fish,"Horse mackerel, lean (spring, summer), raw","Chinchard maigre, cru"
en:fish,"Horse mackerel, oily (autumn, winter), raw","Chinchard gras, cru"
en:fish,"Atlantic herring, lean, raw","Hareng maigre, cru"
en:fish,"Atlantic herring, oily, raw","Hareng gras, cru"
en:fish,"Big-scale sand smelt (whole small fish), to fry, raw","Joëls (petits poissons entiers) pour friture, crus"
en:fish,"Blue shark, fillet, without skin, raw","Empereur, filet, sans peau, cru"
en:fish,"Surmullet or red mullet, fillet with skin, frozen, raw (from Thailand or Senegal)","Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)"
en:fish,"Carp, raw, farmed","Carpe, crue, élevage"
en:fish,"Trout, farmed, raw","Truite d'élevage, crue"
en:fish,"Rainbow trout, raw, farmed","Truite arc en ciel, crue, élevage"
en:fish,"European perch, raw","Perche, crue"
en:fish,"Brown bullhead, raw","Pangasius ou Poisson-chat, cru"
en:fish,"Salmon trout, raw","Truite saumonée, crue"
en:fish,"Nile perch, raw","Perche du Nil, crue"
en:marjoram,"Marjoram, dried","Marjolaine, séchée"
de:blutorangensaft,"Orange juice, home-made","Jus d'orange, maison"
de:feine-milchschokolade,Milk chocolate bar,"Chocolat au lait, tablette"
de:maiskölbchen,"Sweet corn, on the cob, frozen, raw","Maïs doux, en épis, surgelé, cru"
de:mokaranahonig,Honey,Miel
de:orangensaft-mit-fruchtfleisch,"Orange juice, home-made","Jus d'orange, maison"
de:pouletfett,Chicken fat,Graisse de poulet
de:weichweizenmehl,"Wheat flour, type 55 (for bread)",Farine de blé tendre ou froment T55 (pour pains)
de:weichweizenmehl,"Wheat flour, type 150",Farine de blé tendre ou froment T150
de:weichweizenmehl,"Wheat flour, type 55 (for pastry)",Farine de blé tendre ou froment T45 (pour pâtisserie)
de:weichweizenmehl,"Wheat flour, type 65",Farine de blé tendre ou froment T65
de:weichweizenmehl,"Wheat flour, type 110",Farine de blé tendre ou froment T110
de:weichweizenmehl,"Wheat flour, type 80",Farine de blé tendre ou froment T80
en:acacia-honey,Honey,Miel
en:alaska-pollock,"Alaska pollock, raw","Lieu ou colin d'Alaska, cru"
en:albacore,"Albacore, raw","Thon germon ou thon blanc, cru"
en:alcohol-vinegar,Vinegar,Vinaigre
en:almond,"Almond, (with peel)",Amande (avec peau)
en:almond,"Almond, peeled, unpeeled or blanched","Amande, mondée, émondée ou blanchie"
en:almond-pulp,"Almond, peeled, unpeeled or blanched","Amande, mondée, émondée ou blanchie"
en:almond-with-skin,"Almond, (with peel)",Amande (avec peau)
en:almond-without-skin,"Almond, peeled, unpeeled or blanched","Amande, mondée, émondée ou blanchie"
en:almonds-pieces,"Almond, (with peel)",Amande (avec peau)
en:american-lobster,"Norway lobster, raw","Langoustine, crue"
en:anchovy,"Common anchovy, raw","Anchois commun, cru"
en:anchovy-extract,"Common anchovy, raw","Anchois commun, cru"
en:anchovy-paste,"Common anchovy, raw","Anchois commun, cru"
en:anglerfish,"Anglerfish, raw","Lotte ou baudroie, crue"
en:apple,"Apple, var. Golden, pulp and skin, raw","Pomme Golden, pulpe et peau, crue"
en:apple,"Apple, Canada, pulp, raw","Pomme Canada, pulpe, crue"
en:apple,"Apple, pulp, raw","Pomme, pulpe, crue"
en:apple,"Apple, pulp and peel, raw","Pomme, pulpe et peau, crue"
en:apple-extract,"Apple, pulp, raw","Pomme, pulpe, crue"
en:apple-extract,"Apple, pulp and peel, raw","Pomme, pulpe et peau, crue"
en:apple-juice,"Apple juice, pure juice","Jus de pomme, pur jus"
en:apple-pieces,"Apple, pulp, raw","Pomme, pulpe, crue"
en:apple-pieces,"Apple, pulp and peel, raw","Pomme, pulpe et peau, crue"
en:apple-puree,"Apple, pulp, raw","Pomme, pulpe, crue"
en:apple-puree,"Apple, pulp and peel, raw","Pomme, pulpe et peau, crue"
en:apricot,"Apricot, pitted, raw","Abricot, dénoyauté, cru"
en:apricot-puree,"Apricot, pitted, raw","Abricot, dénoyauté, cru"
en:argentine-hake,"European hake, raw","Merlu, cru"
en:armagnac,"Spirit made from wine, armagnac or cognac type","Eau de vie de vin, type armagnac, cognac"
en:artichoke,"Artichoke, globe, raw","Artichaut, cru"
en:artichoke-hearts,"Artichoke, heart, canned, drained","Artichaut, coeur, appertisé, égoutté"
en:ascophyllum,"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated","Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté"
en:asparagus,"Asparagus, white or purple, peeled, raw","Asperge, blanche ou violette, pelée, crue"
en:asparagus,"Asparagus, peeled, raw","Asperge, pelée, crue"
en:asparagus,"Asparagus, green, raw","Asperge, verte, crue"
en:atlantic-bay-scallop,"Peru sea scallop, without coral, raw","Pétoncle ou Peigne du Pérou, noix, crue"
en:atlantic-herring,"Atlantic herring, raw","Hareng, cru"
en:atlantic-mackerel,"Mackerel, raw","Maquereau, cru"
en:atlantic-salmon,"Salmon, raw, farmed","Saumon, cru, élevage"
en:atlantic-wolffish,"Atlantic bass, raw","Bar ou loup de l'Atlantique, cru"
en:aubergine,"Eggplant, raw","Aubergine, crue"
en:avocado,"Avocado, pulp, raw","Avocat, pulpe, cru"
en:avocado-oil,"Avocado, pulp, raw","Avocat, pulpe, cru"
en:bacon,"Bacon, back",Filet de bacon
en:baker-s-yeast,"Baker's yeast, compressed","Levure de boulanger, compressée"
en:baker-s-yeast,"Baker's yeast, dehydrated","Levure de boulanger, déshydratée"
en:baking-powder,Baking powder or raising agent,Levure chimique ou Poudre à lever
en:balsamic-vinegar,"Vinegar, balsamic",Vinaigre balsamique
en:bamboo,"Bamboo shoots, raw","Bambou, pousse, crue"
en:bamboo-shoot,"Bamboo shoots, raw","Bambou, pousse, crue"
en:bamboo-shoot-fiber,"Bamboo shoots, raw","Bambou, pousse, crue"
en:banana,"Banana, pulp, raw","Banane, pulpe, crue"
en:banana-puree,"Banana, pulp, raw","Banane, pulpe, crue"
en:barley-flour,Barley flour,Farine d'orge
en:barley-malt-flour,Barley flour,Farine d'orge
en:basil,"Basil, fresh","Basilic, frais"
en:basmati-rice,"Basmati rice, raw","Riz thaï ou basmati, cru"
en:bay-leaf,"Bay, leaves","Laurier, feuille"
en:beans,"Haricot bean, canned, drained","Haricot blanc, appertisé, égoutté"
en:beans,"Flageolet bean, canned, drained","Haricot flageolet, appertisé, égouttés"
en:beans,"Red kidney bean, canned, drained","Haricot rouge, appertisé, égoutté"
en:beaufort,"Beaufort cheese, from cow's milk",Beaufort
en:bechamel-sauce,"Bechamel sauce, home-made","Sauce béchamel, maison"
en:bechamel-sauce,"Bechamel sauce, prepacked","Sauce béchamel, préemballée"
en:beef,"Beef, cheek, raw","Boeuf, joue, crue"
en:beef,"Beef, sirloin steak, raw","Boeuf, faux-filet, cru"
en:beef,"Beef, rib steak, raw","Boeuf, entrecôte, crue"
en:beef,"Beef, knuckle, raw","Boeuf, jarret, cru"
en:beef,"Beef, shoulder, raw","Boeuf, épaule, crue"
en:beef,"Beef, thin flank, raw","Boeuf, hampe, crue"
en:beef,"Beef, sirloin steak, red label, raw","Boeuf, faux-filet, label rouge, cru"
en:beef,"Beef, rib, raw","Boeuf, côte, crue"
en:beef,"Beef, minced steak, 20% fat, raw","Bœuf, steak haché 20% MG, cru"
en:beef,"Beef, minced steak, 5% fat, raw","Bœuf, steak haché 5% MG, cru"
en:beef,"Beef, short ribs, raw","Boeuf, plat de côtes, cru"
en:beef,"Beef, round, raw","Boeuf, gîte à la noix, cru"
en:beef,"Beef, minced steak, 15% fat, raw","Bœuf, steak haché 15% MG, cru"
en:beef,"Beef, minced steak, 10% fat, raw","Bœuf, steak haché 10% MG, cru"
en:beef,"Beef, topside, raw","Boeuf, tende de tranche, crue"
en:beef-broth,"Broth, stock or bouillon, vegetables, dehydrated and reconstituted","Bouillon de légumes, déshydraté reconstitué"
en:beef-gelatin,"Gelatine, dried","Gélatine, sèche"
en:beef-heart,"Heart, beef, raw","Coeur, boeuf, cru"
en:beef-tongue,"Tongue, beef, raw","Langue, boeuf, crue"
en:beer,"Beer, low alcohol-content (3° alcohol)",Bière faiblement alcoolisée (3° alcool)
en:beer,"Beer, regular (4-5° alcohol)","Bière ""coeur de marché"" (4-5° alcool)"
en:beer,"Beer, strong (>8° alcohol)",Bière forte (>8° alcool)
en:beer,"Beer, dark",Bière brune
en:beer,"Beer, ""specialty"", from abbey or regional (varying alcohol content)","Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)"
en:beer,"Beer, special (5-6° alcohol)","Bière ""spéciale"" (5-6° alcool)"
en:beet-sugar,"Sugar, white",Sucre blanc
en:beetroot,"Beetroot, raw","Betterave rouge, crue"
en:belgian-endive,"Red endive, raw","Chicorée rouge, crue"
en:belgian-endive,"Curly endive, raw","Salade ou chicorée frisée, crue"
en:belgian-endive,"Green endive, raw","Chicorée verte, crue"
en:bell-pepper,"Sweet pepper, red, raw","Poivron rouge, cru"
en:bell-pepper,"Sweet pepper, green, yellow or red, raw","Poivron, vert, jaune ou rouge, cru"
en:bell-pepper,"Sweet pepper, green, raw","Poivron vert, cru"
en:bell-pepper,"Sweet pepper, yellow, raw","Poivron jaune, cru"
en:berries,"Red berries (raspberries, strawberries, red currants, black currants) , raw","Fruits rouges, crus (framboises, fraises, groseilles, cassis)"
en:biscuit,"Biscuit (cookie), with vegetal fat","Biscuit sec, avec matière grasse végétale"
en:biscuit,"Biscuit (cookie), plain",Biscuit sec nature
en:biscuit,Biscuit (cookie) vitamins and chemical elements content guaranteed,Biscuit sec à teneur garantie en vitamines et minéraux
en:biscuit,Butter biscuit (cookie),Biscuit sec petit beurre
en:biscuit,"Crispy biscuit (cookie), without chocolate, reduced fat","Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse"
en:biscuit,Biscuit (cookie),"Biscuit sec, sans précision"
en:biscuit,Biscuit (cookie) vitamins content guaranteed,Biscuit sec à teneur garantie en vitamines
en:black-carrot,"Carrot, raw","Carotte, crue"
en:black-cherry,"Cherry, pitted, raw","Cerise, dénoyautée, crue"
en:black-pepper,"Black pepper, powder","Poivre noir, poudre"
en:black-pepper-extract,"Black pepper, powder","Poivre noir, poudre"
en:black-peppercorns,"Black pepper, powder","Poivre noir, poudre"
en:black-sea-bream,"Black seabream, raw","Dorade grise, ou daurade grise, ou griset, crue"
en:black-wild-rice,"Wild rice, raw","Riz sauvage, cru"
