OFF_FR,CIQUAL_FR,CIQUAL_INDEX_FR,OFF_EN,CIQUAL_EN,OFF_ID,CIQUAL_ID
Marjolaine,"Marjolaine, séchée",Marjolaine,Marjoram,"Marjoram, dried",en:marjoram,11034
Kamut,Blé khorasan complet soufflé,Kamut complet soufflé,,"Khorasan wheat, wholemeal, puffed/popped",en:khorasan-wheat,32130
Jus d'orange sanguine,"Jus d'orange, maison",Jus d'orange,,"Orange juice, home-made",de:blutorangensaft,2013
Jus d'orange sanguine,"Jus d'orange, à base de concentré",Jus d'orange,,"Orange juice, reconstituted from a concentrate",de:blutorangensaft,2012
Jus d'orange sanguine,"Jus d'orange, pur jus",Jus d'orange,,"Orange juice, pure juice",de:blutorangensaft,2070
Chocolat supérieur au lait,"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",Chocolat au lait édulcoré,,"Milk chocolate bar, without sugar, with sweeteners",de:feine-milchschokolade,31020
Chocolat supérieur au lait,"Chocolat au lait, tablette",Chocolat au lait,,Milk chocolate bar,de:feine-milchschokolade,31004
Épis de maïs,"Maïs doux, en épis, surgelé, cru",Maïs épi,,"Sweet corn, on the cob, frozen, raw",de:maiskölbchen,20108
Miel de Mokarana,Miel,Miel,,Honey,de:mokaranahonig,31008
Jus d'orange avec pulpe,"Jus d'orange, maison",Jus d'orange,,"Orange juice, home-made",de:orangensaft-mit-fruchtfleisch,2013
Graisse de poulet,Graisse de poulet,Graisse de poulet,,Chicken fat,de:pouletfett,16540
Son de soja,Son (aliment moyen),Son,,Bran (average),en:soya-flour,9647
Farine de blé tendre,Farine de blé tendre ou froment T45 (pour pâtisserie),Farine de blé T45 (pour pâtisserie),,"Wheat flour, type 55 (for pastry)",de:weichweizenmehl,9440
Farine de blé tendre,Farine de blé tendre ou froment T80,Farine de blé T80,,"Wheat flour, type 80",de:weichweizenmehl,9445
Farine de blé tendre,Farine de blé tendre ou froment T55 (pour pains),Farine de blé T55 (pour pains),,"Wheat flour, type 55 (for bread)",de:weichweizenmehl,9436
Farine de blé tendre,Farine de blé tendre ou froment T65,Farine de blé T65,,"Wheat flour, type 65",de:weichweizenmehl,9435
Farine de blé tendre,Farine de blé tendre ou froment T150,Farine de blé T150,,"Wheat flour, type 150",de:weichweizenmehl,9415
Farine de blé tendre,Farine de blé tendre ou froment T110,Farine de blé T110,,"Wheat flour, type 110",de:weichweizenmehl,9410
,"Ormeau, cru","Ormeau, cru",Abalone,"Abalone or ormer or sea ear, raw",en:abalone,10041
Miel d'acacia,Miel,Miel,Acacia honey,Honey,en:acacia-honey,31008
Sirop d'agave,Sirop d'agave,Sirop d'agave,Agave syrup,"Syrup, agave",en:agave-syrup,31089
Colin d'Alaska,"Lieu ou colin d'Alaska, cru","Lieu ou colin d'Alaska, cru",Alaska pollock,"Alaska pollock, raw",en:alaska-pollock,26006
Thon blanc,"Thon germon ou thon blanc, cru","Thon germon ou thon blanc, cru",Albacore,"Albacore, raw",en:albacore,26076
Vinaigre d'alcool,Vinaigre,Vinaigre,Alcohol vinegar,Vinegar,en:alcohol-vinegar,11018
Amande,Amande (avec peau),Amande,Almond,"Almond, (with peel)",en:almond,15000
Amande,"Amande, mondée, émondée ou blanchie",Amande,Almond,"Almond, peeled, unpeeled or blanched",en:almond,15041
Pulpe d'amandes,"Amande, mondée, émondée ou blanchie",Huile d'amande,Almond pulp,"Almond, peeled, unpeeled or blanched",en:almond-pulp,15041
Amande brute,Amande (avec peau),Amande,Almond with skin,"Almond, (with peel)",en:almond-with-skin,15000
Amande émondée,"Amande, mondée, émondée ou blanchie",Amande,Almond without skin,"Almond, peeled, unpeeled or blanched",en:almond-without-skin,15041
Éclats d'amandes,Amande (avec peau),Amande,Almonds pieces,"Almond, (with peel)",en:almonds-pieces,15000
Homard américain,"Homard, bouilli/cuit à l'eau",Homard,American lobster,"Lobster, boiled/cooked in water",en:american-lobster,10009
Anchois,"Anchois commun, cru",Anchois,Anchovy,"Common anchovy, raw",en:anchovy,26079
Extrait d'anchois,"Anchois commun, cru",Anchois,Anchovy extract,"Common anchovy, raw",en:anchovy-extract,26079
Pâte d'anchois,"Anchois commun, cru",Anchois,Anchovy paste,"Common anchovy, raw",en:anchovy-paste,26079
Baudroie commune,"Lotte ou baudroie, crue","Lotte ou baudroie, crue",Anglerfish,"Anglerfish, raw",en:anglerfish,26018
Pomme,"Pomme, pulpe et peau, crue",Pomme,Apple,"Apple, pulp and peel, raw",en:apple,13039
Pomme,"Pomme, pulpe, crue",Pomme,Apple,"Apple, pulp, raw",en:apple,13050
Pomme,"Pomme Canada, pulpe, crue",Pomme Canada,Apple,"Apple, Canada, pulp, raw",en:apple,13085
Pomme,"Pomme Golden, pulpe et peau, crue",Pomme Golden,Apple,"Apple, var. Golden, pulp and skin, raw",en:apple,13620
Extrait de pomme,"Pomme, pulpe et peau, crue",Pomme,Apple extract,"Apple, pulp and peel, raw",en:apple-extract,13039
Extrait de pomme,"Pomme, pulpe, crue",Pomme,Apple extract,"Apple, pulp, raw",en:apple-extract,13050
Jus de pomme,"Jus de pomme, à base de concentré",Jus de pomme,Apple juice,"Apple juice, reconstituted from a concentrate",en:apple-juice,2014
Jus de pomme,"Jus de pomme, pur jus",Jus de pomme,Apple juice,"Apple juice, pure juice",en:apple-juice,2074
Jus de pomme à base de concentré,"Jus de pomme, à base de concentré",Jus de pomme,Apple juice from concentrate,"Apple juice, reconstituted from a concentrate",en:apple-juice-from-concentrate,2014
Morceaux de pomme,"Pomme, pulpe et peau, crue",Pomme,Apple pieces,"Apple, pulp and peel, raw",en:apple-pieces,13039
Morceaux de pomme,"Pomme, pulpe, crue",Pomme,Apple pieces,"Apple, pulp, raw",en:apple-pieces,13050
Purée de pomme,"Pomme, pulpe et peau, crue",Pomme,Apple purée,"Apple, pulp and peel, raw",en:apple-puree,13039
Purée de pomme,"Pomme, pulpe, crue",Pomme,Apple purée,"Apple, pulp, raw",en:apple-puree,13050
Abricot,"Abricot, dénoyauté, cru",Abricot,Apricot,"Apricot, pitted, raw",en:apricot,13000
Noyaux d'abricots,Huile d'amandes d'abricot,Huile d'amandes d'abricot,Apricot kernels,Apricot kernel oil,en:apricot-kernels,17020
Purée d'abricots,"Abricot, dénoyauté, cru",Abricot,Apricot purée,"Apricot, pitted, raw",en:apricot-puree,13000
Merlu Argentin,"Merlu, cuit à l'étouffée",Merlu,Argentine hake,"European hake, braised",en:argentine-hake,26120
Armagnac,"Eau de vie de vin, type armagnac, cognac","Armagnac, cognac",Armagnac,"Spirit made from wine, armagnac or cognac type",en:armagnac,1023
Artichaut,"Artichaut, cru",Artichaut,Artichoke,"Artichoke, globe, raw",en:artichoke,20052
Cœurs d'artichauts,"Artichaut, coeur, appertisé, égoutté","Artichaut, cœur",Artichoke hearts,"Artichoke, heart, canned, drained",en:artichoke-hearts,20155
,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",Goémon,Ascophyllum,"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",en:ascophyllum,20998
Asperge,"Asperge, blanche ou violette, pelée, crue",Asperge,Asparagus,"Asparagus, white or purple, peeled, raw",en:asparagus,20282
Asperge,"Asperge, verte, crue",Asperge,Asparagus,"Asparagus, green, raw",en:asparagus,20279
Asperge,"Asperge, pelée, crue",Asperge,Asparagus,"Asparagus, peeled, raw",en:asparagus,20073
Pétoncle,"Pétoncle ou Peigne du Pérou, noix, crue","Pétoncle ou Peigne du Pérou, noix, crue",Atlantic bay scallop,"Peru sea scallop, without coral, raw",en:atlantic-bay-scallop,10049
Hareng,"Hareng, cru","Hareng, cru",Atlantic herring,"Atlantic herring, raw",en:atlantic-herring,26011
Maquereau de l'Atlantique,"Maquereau, cru","Maquereau, cru",Atlantic mackarel,"Mackerel, raw",en:atlantic-mackerel,26051
Saumon atlantique,"Saumon, appertisé, égoutté",Saumon,Atlantic salmon,"Salmon, canned, drained",en:atlantic-salmon,26119
Loup d'atlantique,"Bar ou loup de l'Atlantique, cru",Bar loup,Atlantic wolffish,"Atlantic bass, raw",en:atlantic-wolffish,26075
Aubergine,"Aubergine, crue",Aubergine,Aubergine,"Eggplant, raw",en:aubergine,20053
Avocat,"Avocat, pulpe, cru",Avocat,Avocado,"Avocado, pulp, raw",en:avocado,13004
Huile d'avocat,Huile d'avocat,Huile d'avocat,Avocado oil,Avocado oil,en:avocado-oil,17100
Bacon,Filet de bacon,Bacon,Bacon,"Bacon, back",en:bacon,28727
Levure de boulanger,"Levure de boulanger, compressée","Levure de boulanger, compressée",Baker's yeast,"Baker's yeast, compressed",en:baker-s-yeast,11010
Levure de boulanger,"Levure de boulanger, déshydratée","Levure de boulanger, déshydratée",Baker's yeast,"Baker's yeast, dehydrated",en:baker-s-yeast,11045
Levure chimique,Levure chimique ou Poudre à lever,Levure chimique,Baking powder,Baking powder or raising agent,en:baking-powder,11046
Vinaigre balsamique,Vinaigre balsamique,Vinaigre balsamique,Balsamic vinegar,"Vinegar, balsamic",en:balsamic-vinegar,11091
Bambou,"Bambou, pousse, crue",Pousse de bambou,Bamboo,"Bamboo shoots, raw",en:bamboo,20198
Pousse de bambou,"Bambou, pousse, crue",Pousse de bambou,Bamboo shoot,"Bamboo shoots, raw",en:bamboo-shoot,20198
Fibres de pousses de bambou,"Bambou, pousse, crue",Pousse de bambou,Bamboo shoot fiber,"Bamboo shoots, raw",en:bamboo-shoot-fiber,20198
Banane,"Banane, pulpe, crue",Banane,Banana,"Banana, pulp, raw",en:banana,13005
Purée de banane,"Banane, pulpe, crue",Banane,Banana puree,"Banana, pulp, raw",en:banana-puree,13005
Farine d'orge,Farine d'orge,Farine d'orge,Barley flour,Barley flour,en:barley-flour,9550
